ShortID,ID,City,Country,Status,Network,Agency,,
BABJ,BABJ00BRA,Bom Jesus da Lapa,Brazil,active,RBMC,IBGE,more,
BABR,BABR00BRA,Barreiras,Brazil,active,RBMC,IBGE,more,
BAIL,BAIL00BRA,Ilheus,Brazil,active,RBMC,IBGE,more,
BAIR,BAIR00BRA,Irece,Brazil,removed,RBMC,IBGE,more,
BAIT,BAIT00BRA,Itaberaba,Brazil,active,RBMC,IBGE,UNEB,more,
BAKE,BAKE00CAN,Baker Lake,Canada,active,IGS,ITRF2014,CSRS,NRCan-CGS,more,
BANS,BANS00VEN,Barinas,Venezuela,removed,REMOS,IGVSB,more,
BAPA,BAPA00BRA,Paulo Afonso,Brazil,active,RBMC,IBGE,IFBA,more,
BARI,BARI00GTM,Huehuetenando,Guatemala,removed,CORS-GT,IGN-GT,more,
BATF,BATF00BRA,Teixeira de Freitas,Brazil,active,RBMC,IBGE,more,
BAVC,BAVC00BRA,Vitória da Conquista,Brazil,active,RBMC,IBGE,more,
BCAR,BCAR00ARG,Balcarce,Argentina,active,RAMSAC,INTA,IGN-AR,more,
BCH1,BCH100ARG,Bariloche,Argentina,active,RAMSAC,DGC Rio Negro,IGN-Ar,more,
BDOS,BDOS00BRB,Barbados,Barbados,removed,IGS,NOAA-NGS,CZMU,more,
BECE,BECE00COL,Becerril,Colombia,inactive,MAGNA-ECO,IGAC,more,
BEJA,BEJA00COL,Barrancabermeja,Colombia,active,MAGNA-ECO,IGAC,more,
BELE,BELE00BRA,Belem,Brazil,active,IGS,ITRF2014,RBMC,RIBaC,IBGE,INCRA,SIPAM,more,
BEPA,BEPA00BRA,Belem,Brazil,active,RBMC,IBGE,INPE,more,
BERR,BERR00COL,Puerto Berrio,Colombia,inactive,MAGNA-ECO,IGAC,UDEA-SMM,more,
BFNY,BFNY00USA,Buffalo,NY,USA,active,US-CORS,NGS,more,
BHEC,BHEC00ECU,Babahoyo,Ecuador,active,REGME,IGM-EC,more,
BJCO,BJCO00BEN,Cotonou,Benin,inactive,IGS14,ITRF2014,IGN-BJ,more,
BLPZ,BLPZ00BOL,El Alto,Bolivia,active,MARGEN,IGM-BO,more,
BNGA,BNGA00COL,Bucaramanga,Colombia,inactive,MAGNA-ECO,IGAC,more,
BOAV,BOAV00BRA,Boa Vista,Brazil,active,IGS,ITRF2014,RBMC,IBGE,more,
BOGA,BOGA00COL,Bogota,Colombia,active,MAGNA-ECO,IGAC,DGFI,more,
BOGT,BOGT00COL,Bogota,Colombia,active,IGS,ITRF2014,MAGNA-ECO,JPL,UNAVCO,Ingeominas,more,
BOMJ,BOMJ00BRA,Bom Jesus da Lapa,Brazil,removed,ITRF2014,RBMC,RIBaC,IBGE,INCRA,Marinha,more,
BOSC,BOSC00COL,Bosconia,Colombia,active,MAGNA-ECO,IGAC,more,
BQLA,BQLA00COL,Barranquilla,Colombia,active,MAGNA-ECO,IGAC,UdelN,more,
BRAZ,BRAZ00BRA,Brasilia,Brazil,active,IGS14,ITRF2014,RBMC,RIBaC,IBGE,INCRA,more,
BRBR,BRBR00CRI,Bribrí,Costa Rica,active,,IGN-CR,more,
BREW,BREW00USA,Brewster,WA,USA,active,IGb14,ITRF2014,US-CORS,NRAO,JPL,more,
BRFT,BRFT00BRA,Eusebio,Brazil,inactive,IGS14,ITRF2014,RBMC,NOAA-NGS,INPE,more,
BRMU,BRMU00GBR,Bermuda,United Kingdom,removed,IGS14,ITRF2014,NOAA-NGS,BBSR,more,
BSUC,BSUC00BOL,Sucre,Bolivia,active,MARGEN,IGM-BO,more,
BUCA,BUCA00COL,Bucaramanga,Colombia,removed,MAGNA-ECO,IGAC,CDMB,more,
BUE2,BUE200ARG,San Martin,Bs As,Argentina,removed,IGS,ITRF2014,NGA,more,
BUEN,BUEN00COL,Buenaventura,Colombia,active,ITRF2014,MAGNA-ECO,TIGA,IGAC,UniValle-SP,more,
CALI,CALI00COL,Cali,Colombia,active,MAGNA-ECO,IGAC,UniValle-OSSO,more,
CALL,CALL00PER,El Callao,Peru,removed,ITRF2014,TIGA,DGFI,IGN-PE,more,
CAM2,CAM200MEX,Campeche,Mexico,removed,ITRF2014,RGNA,INEGI,more,
CART,CART00COL,Cartagena,Colombia,active,ITRF2014,MAGNA-ECO,TIGA,IGAC,DIMAR,CIOH,DGFI,more,
CASI,CASI00COL,Caucasia,Colombia,active,MAGNA-ECO,IGAC,more,
CATA,CATA00ARG,San Fernando/Catamarca,Argentina,active,ITRF2014,RAMSAC,AGC-Catamarca,IGN-AR,more,
CATR,CATR00GTM,Santa Catarina Mita,Guatemala,removed,CORS-GT,IGN-GT,more,
CBMB,CBMB00BOL,Cotapachi,Bolivia,active,MARGEN,IGM-BO,more,
CBSB,CBSB00CYM,Stake Bay,Cayman Islands,UK,removed,,CIG,more,
CEEC,CEEC00ECU,Celica,Ecuador,active,REGME,IGM-EC,more,
CEEU,CEEU00BRA,Euzébio,Brazil,active,RBMC,RIBaC,IBGE,INPE,more,
CEFE,CEFE00BRA,Vitoria,Brazil,active,ITRF2014,RBMC,IBGE,more,
CEFT,CEFT00BRA,Fortaleza - Porto,Brazil,active,RBMC,,more,
CESB,CESB00BRA,Sobral,Brazil,active,RBMC,IBGE,CCS-UVA,more,
CFAG,CFAG00ARG,Caucete,Argentina,removed,IGS14,ITRF2014,RAMSAC,CERI,more,
CHAC,CHAC00ARG,Resistencia,Argentina,active,RAMSAC,APA-Chaco,IGN-AR,more,
CHEC,CHEC00ECU,El Chaco,Ecuador,active,REGME,IGM-EC,more,
CHEP,CHEP00PAN,Chepo,Panama,active,Panama-CORS,IGNTG,more,
CHET,CHET00MEX,Chetumal,Mexico,active,ITRF2014,RGNA,INEGI,more,
CHIH,CHIH00MEX,Chihuahua,Mexico,removed,RGNA,INEGI,more,
CHIS,CHIS00GTM,Chisec,Guatemala,removed,CORS-GT,IGN-GT,more,
CHLS,CHLS00CRI,Los Chiles,Costa Rica,active,,IGN-CR,more,
CHPI,CHPI00BRA,Cachoeira,Brazil,active,IGS14-Core,ITRF2014,RBMC,JPL,UNAVCO,INPE,more,
CHTI,CHTI00NZL,Chatham Island,New Zealand,active,IGS14,ITRF2014,GNS Science,more,
CHUR,CHUR00CAN,Churchill,Canada,active,IGb14,ITRF2014,CSRS,NRCan-CGS,more,
CIC1,CIC100MEX,Ensenada,Mexico,removed,IGS,RGNA,JPL,UNAVCO,CICESE,more,
CIQE,CIQE00CRI,Ciudad Quesada,Costa Rica,active,,IGN-CR,more,
CJ01,CJ0100PER,Cajamarca,Peru,active,REGPMOC,IGN-PE,more,
CKIS,CKIS00COK,Cook Islands,active,IGS14-Core,ITRF2014,GA,more,
CLEC,CLEC00ECU,Celica,Ecuador,removed,REGME,IGM-EC,more,
CN19,CN1900ABW,Noord,Aruna,active,COCONET,UNAVCO,more,
CN39,CN3900VEN,Quebrada Arriba,Venezuela,removed,COCONET,UNAVCO,more,
CN41,CN4100VEN,El Baul,Venezuela,active,COCONET,UNAVCO,more,
COEC,COEC00ECU,Tulcan,Ecuador,active,REGME,IG-EPN,IGM-EC,more,
COL2,COL200MEX,Colima,Mexico,active,RGNA,INEGI,more,
CONZ,CONZ00CHL,Concepcion,Chile,removed,IGS14,ITRF2014,BKG,UdeC-DG,more,
COPO,COPO00CHL,Copiapo,Chile,removed,IGS,ITRF2014,G2,IGM-CL,more,
CORD,CORD00ARG,Cordoba,Argentina,active,IGS,RAMSAC,JPL,UNAVCO,CONAE,more,
CORU,CORU00BRA,Corumbá,Brazil,active,RBMC,IBGE,UFMS,more,
COYQ,COYQ00CHL,Coyhaique,Chile,removed,IGS,ITRF2014,G2,IGM-CL,more,
CPVG,CPVG00CPV,Espargos,Cape Verde,active,IGS,INMG,CNES,more,
CRAT,CRAT00BRA,Crato,Brazil,active,RBMC,RIBaC,IBGE,INCRA,URCA,more,
CRCS,CRCS00VEN,Caracas,Venezuela,removed,REMOS,IGVSB,more,
CRLP,CRLP00CRI,Pavas,Costa Rica,active,,CENAT,more,
CRO1,CRO100VIR,Saint Croix,USA,active,IGS14-Core,ITRF2014,JPL,UNAVCO,NRAO,more,
CRUZ,CRUZ00BRA,Cruzeiro do Sul,Brazil,active,RBMC,IBGE,more,
CS01,CS0100PER,Wanchaq,Peru,active,REGPMOC,IGN-PE,more,
CSLO,CSLO00ARG,Calingasta,Argentina,active,RAMSAC,CASLEO,CERI,more,
CUCU,CUCU00COL,Cucuta,Colombia,active,ITRF2014,MAGNA-ECO,IGAC,UFPS,more,
CUEC,CUEC00ECU,Cuenca,Ecuador,active,REGME,IGM-EC,more,
CUIB,CUIB00BRA,Cuiaba,Brazil,active,ITRF2014,RBMC,RIBaC,IBGE,INCRA,INPE,more,
CULC,CULC00MEX,Culiacan,Mexico,active,RGNA,INEGI,more,
CULI,CULI00MEX,Culiacan,Mexico,removed,RGNA,INEGI,more,
CUM3,CUM300VEN,Cumana,Venezuela,removed,REMOS,IGVSB,more,
CXEC,CXEC00ECU,Latacunga,Ecuador,active,REGME,IGM-EC,more,
CYNE,CYNE00GUF,Cayenne,French Guiana,active,RGP,Meteo France,IGN-SGN,more,
DARI,DARI00PAN,Darien,Panama,inactive,Panama-CORS,IGNTG,more,
DAVI,DAVI00PAN,David,Panama,active,Panama-CORS,IGNTG,more,
DORA,DORA00COL,La Dorada,Colombia,active,MAGNA-ECO,IGAC,ALD,more,
DPEC,DPEC00ECU,Posorja,Ecuador,active,REGME,IGM-EC,Bocatoma Posorja,more,
DUBO,DUBO00CAN,Lac du Bonnet,Canada,active,IGb14,ITRF2014,CSRS,NRCan-CGS,more,
EACH,EACH00BRA,Sao Paulo,Brazil,active,RBMC,IBGE,USP-EACH,more,
EBPT,EBPT00COL,El Bagre,Colombia,active,MAGNA-ECO,GeoRED,IGAC,SGC,more,
EBY1,EBY100ARG,Posadas,Argentina,active,RAMSAC,EBY,more,
EBYP,EBYP00ARG,Posadas,Argentina,removed,RAMSAC,EBY,more,
ECEC,ECEC00ECU,El Carmen,Ecuador,active,REGME,GADMEC,IGM-EC,more,
EESC,EESC00BRA,Sao Carlos,Brazil,active,RBMC,IBGE,more,
EISL,EISL00CHL,Easter Island,Chile,removed,IGS14,ITRF2014,JPL,UNAVCO,CEC,more,
ELEN,ELEN00GTM,Santa Elena,Guatemala,removed,ITRF2014,CORS-GT,NOAA-NGS,IGN-GT,more,
EMIB,EMIB00BOL,La Paz,Bolivia,active,MARGEN,IGM-BO,more,
EPEC,EPEC00ECU,Sangolqui,Ecuador,active,REGME,ESPE,IGM-EC,more,
EREC,EREC00ECU,Riobamba,Ecuador,active,REGME,IGM-EC,more,
ESEC,ESEC00ECU,Esmeraldas,Ecuador,active,REGME,IGM-EC,more,
ESMR,ESMR00ECU,Esmeraldas,Ecuador,removed,REGME,IG-EC,IGM-EC,more,
ESNV,ESNV00BRA,Nova Venecia,Brazil,active,RBMC,IBGE,IFES,more,
ESQU,ESQU00ARG,Esquel,Argentina,active,RAMSAC,DCM-Esquel,IGN-AR,more,
ESTI,ESTI00NIC,Esteli,Nicaragua,removed,IGS,ITRF2014,NOAA-NGS,INETER,more,
ETCG,ETCG00CRI,Heredia,Costa Rica,removed,,UN-CR,more,
EUR2,EUR200CAN,Eureka,Canada,active,IGS,ITRF2014,CSRS,NRCan-CGS,more,
EXU0,EXU000BHS,George Town,Bahamas,removed,ITRF2014,COCONET,UCAR,COSMIC,more,
FAIR,FAIR00USA,Fairbanks,AK,USA,active,IGb14,ITRF2014,US-CORS,JPL,UNAVCO,more,
FALK,FALK00FLK,Falkland Islands,United Kingdom,active,IGS,ITRF2014,JPL,UNAVCO,more,
FLF1,FLF100USA,Miami,FL,USA,inactive,US-CORS,NGS,more,
FLIN,FLIN00CAN,CFS Flin Flon,Canada,inactive,IGb14,ITRF2014,CSRS,NRCan-CGS,more,
FLOR,FLOR00COL,Florencia,Colombia,removed,MAGNA-ECO,IGAC,UniAmazonía,more,
FOEC,FOEC00ECU,Francisco de Orellana,Ecuador,active,REGME,IGM-EC,GADM,more,
FORT,FORT00BRA,Fortaleza,Brazil,removed,IGS14,ITRF2014,NOAA-NGS,INPE,more,
FQNE,FQNE00COL,Fuquene,Colombia,inactive,MAGNA-ECO,IGAC,more,
GALA,GALA00ECU,Galapagos,Ecuador,removed,IGS,ITRF2014,JPL,UNAVCO,more,
GARA,GARA00COL,Garagoa,Colombia,active,MAGNA-ECO,IGAC,more,
GCGT,GCGT00CYM,George Town,Cayman Islands,UK,removed,ITRF2014,,more,
GLPS,GLPS00ECU,Puerto Ayora,Ecuador,active,IGS14-Core,ITRF2014,JPL,UNAVCO,more,
GODE,GODE00USA,Greenbelt,MD,USA,active,IGS14-Core,ITRF2014,GSFC,JPL,more,
GOGY,GOGY00BRA,Goiania,Brazil,active,RBMC,IBGE,more,
GOJA,GOJA00BRA,Jataí,Brazil,active,RBMC,IBGE,UFG,more,
GOL2,GOL200USA,Goldstone,CA,USA,active,IGS,JPL,more,
GOLD,GOLD00USA,Goldstone,CA,USA,active,IGS14,ITRF2014,JPL,UNAVCO,more,
GOUG,GOUG00SHN,Gough,United Kingdom,removed,IGS14-Core,ITRF2014,AWI,CDSM-ZA,more,
GOUR,GOUR00BRA,Uruacu,Brazil,active,RBMC,IBGE,IFG,more,
GQEC,GQEC00ECU,Guayaquil,Ecuador,active,REGME,IGM-EC,more,
GRE0,GRE000GRD,Grenada,Grenada,removed,COCONET,UCAR,COSMIC,more,
GRE1,GRE100GRD,Sauteurs,Grenada,removed,COCONET,UCAR,COSMIC,more,
GTK0,GTK000TCA,Grand Turk,Turks & Caicos Islands,UK,removed,COCONET,UCAR,COSMIC,more,
GUAT,GUAT00GTM,Guatemala,Guatemala,inactive,IGS14,ITRF2014,NOAA-NGS,IGN-GT,more,
GUAX,GUAX00MEX,Isla Guadalupe,Mexico,active,US-CORS,USGS,more,
GUAY,GUAY00ARG,Villaguay,Argentina,active,RAMSAC,CPA-Entre Rios,IGN-AR,more,
GUEC,GUEC00ECU,Guayaquil,Ecuador,removed,REGME,IGM-EC,INOCAR,more,
GVA1,GVA100BRA,Governador Valadares,Brazil,inactive,RBMC,IBGE,more,
GVAL,GVAL00BRA,Gov. Valadares,Brazil,removed,RBMC,IBGE,CEMIG,more,
GYEC,GYEC00ECU,Guayaquil,Ecuador,removed,REGME,IGM-EC,more,
GZEC,GZEC00ECU,Gualaquiza,Ecuador,active,REGME,IGM-EC,more,
HC03,HC0300PER,Amarilis,Peru,active,REGPMOC,IGN-PE,more,
HER2,HER200MEX,Hermosillo,Mexico,removed,ITRF2014,RGNA,INEGI,more,
HLFX,HLFX00CAN,Halifax,Canada,active,IGb14,ITRF2014,CSRS,NRCan-CGS,GFZ,more,
HOLM,HOLM00CAN,Ulukhaktok,Canada,inactive,IGb14,ITRF2014,CSRS,NRCan-CGS,more,
HUEH,HUEH00GTM,Huehuetenango,Guatemala,removed,CORS-GT,IGN-GT,more,
HV01,HV0100PER,Huancavelica,Peru,inactive,REGPMOC,GRHUANCA,IGN-PE,more,
IACR,IACR00CHL,Arica,Chile,active,,DGFI,UDEC,IGM-CL,more,
IBAG,IBAG00COL,Ibague,Colombia,active,MAGNA-ECO,IGAC,UT,more,
IBEC,IBEC00ECU,Ibarra,Ecuador,active,REGME,GPI,IG-EPN,IGM-EC,more,
IC01,IC0100PER,Ica,Peru,active,REGPMOC,IGN-PE,more,
ICAM,ICAM00MEX,Campeche,Mexico,active,ITRF2014,RGNA,INEGI,more,
ICEC,ICEC00ECU,Galápagos,Ecuador,active,REGME,IGM-EC,more,
ICEP,ICEP00MEX,Puebla,Mexico,active,RGNA,,more,
IDGO,IDGO00MEX,Durango,Mexico,active,RGNA,INEGI,more,
IFSC,IFSC00BRA,Florianopolis,Brazil,active,RBMC,IBGE,more,
IGM0,IGM000ARG,Buenos Aires,Argentina,removed,RAMSAC,CERI,IGM-AR,more,
IGM1,IGM100ARG,Buenos Aires,Argentina,active,ITRF2014,RAMSAC,CERI,IGN-AR,more,
IGN1,IGN100PAN,Panama,Panama,active,Panama-CORS,IGNTG,more,
ILHA,ILHA00BRA,Ilha Solteira,Brazil,active,ITRF2014,RBMC,,more,
IMBT,IMBT00BRA,Imbituba,Brazil,removed,ITRF2014,RBMC,TIGA,IBGE,more,
IMPZ,IMPZ00BRA,Imperatriz,Brazil,active,ITRF2014,RBMC,RIBaC,IBGE,INCRA,CFET,UNEDI,more,
INEG,INEG00MEX,Aguascalientes,Mexico,active,IGS,ITRF2014,RGNA,INEGI,more,
INVK,INVK00CAN,Inuvik,Canada,active,IGb14,ITRF2014,CSRS,NRCan-CGS,more,
IPAZ,IPAZ00MEX,La Paz,Mexico,active,ITRF2014,RGNA,,more,
IQAL,IQAL00CAN,Iqaluit,Canada,active,IGb14,ITRF2014,CSRS,NRCan-CGS,more,
IQQE,IQQE00CHL,Iquique,Chile,active,IGS,ITRF2014,G2,IGM-CL,more,
IQUI,IQUI00PER,Iquitos,Peru,removed,ITRF2014,DGFI,IGN-PE,more,
ISCO,ISCO00CRI,Cocos Island,Costa Rica,removed,ITRF2014,COCONET,UNAVCO,more,
ISPA,ISPA00CHL,EasterIsland,Chile,removed,IGS14-Core,ITRF2014,JPL,UNAVCO,CEC,more,
ITAI,ITAI00BRA,Foz do Iguaçu,Brazil,active,RBMC,IBGE,Itaipu,more,
ITAM,ITAM00BRA,Itacoatiara,Brazil,removed,RBMC,IBGE,UEA,more,
JAMA,JAMA00JAM,Kingston,Jamaica,removed,IGS,ITRF2014,NOAA-NGS,JMS,more,
JAMG,JAMG00BRA,Jaiba,Brazil,removed,RBMC,IBGE,EPAMIG,more,
JBAL,JBAL00ARG,Juan Bautista Alberdi,Argentina,active,RAMSAC,DGC-Tucumán,more,
JNEC,JNEC00ECU,Paján,Ecuador,active,REGME,IGM-EC,more,
JPLM,JPLM00USA,Pasadena,CA,USA,active,IGS,ITRF2014,JPL,more,
JU03,JU0300PER,Chanchamayo,Peru,active,REGPMOC,IGN-PE,more,
KOKB,KOKB00USA,Kauai,HI,USA,active,IGS14-Core,ITRF2014,JPL,UNAVCO,more,
KOUG,KOUG00GUF,Kourou,France,active,IGS,ITRF2014,CNES,more,
KOUR,KOUR00GUF,Kourou,France,active,IGS14-Core,ITRF2014,ESA,ESOC,more,
KSU1,KSU100USA,Manhattan,KS,USA,active,US-CORS,UNAVCO,more,
KUJ2,KUJ200CAN,Kuujjuarapik,Canada,active,IGS,CSRS,CSRS,NRCan-CGS,more,
KYW1,KYW100USA,Key West,USA,removed,ITRF2014,USCG,more,
LAEC,LAEC00ECU,Lago Agrio,Ecuador,active,REGME,IGM-EC,more,
LB01,LB0100PER,Chiclayo,Peru,active,REGPMOC,GRLB,IGN-PE,more,
LCRZ,LCRZ00CRI,La Cruz,Costa Rica,active,,IGN-CR,more,
LHCL,LHCL00ARG,Lihuel Calel,Argentina,inactive,ITRF2014,RAMSAC,CERI,IGN-AR,more,
LI01,LI0100PER,Lima,Peru,active,REGPMOC,IGN-PE,more,
LIBE,LIBE00CRI,Liberia,Costa Rica,removed,,IGN-CR,more,
LIMN,LIMN00CRI,Limon,Costa Rica,active,,IGN-CR,more,
LIPA,LIPA00COL,Arauquita,Colombia,inactive,MAGNA-ECO,GeoRED,IGAC,SGC,more,
LJEC,LJEC00ECU,Loja,Ecuador,active,REGME,IGM-EC,UTPL,more,
LMMF,LMMF00MTQ,Le Lamentin,Martinique,active,IGS14,ITRF2014,Meteo France,IGN-SGN,more,
LPAZ,LPAZ00MEX,La Paz,Mexico,removed,ITRF2014,RGNA,INEGI,more,
LPGS,LPGS00ARG,La Plata,Argentina,active,IGS14,ITRF2014,RAMSAC,GFZ,UNLP,more,
LR01,LR0100PER,Belen,Peru,active,REGPMOC,IGN-PE,more,
LROS,LROS00ARG,Las Rosas,Argentina,active,RAMSAC,IGN-AR,COPA Sur,more,
MA01,MA0100ARG,Neuquen,Argentina,removed,RAMSAC,CPAGI-Neuquen,Mertind-AR,more,
MABA,MABA00BRA,Maraba,Brazil,active,RBMC,IBGE,more,
MABB,MABB00BRA,Bacabal,Brazil,active,RBMC,IBGE,IFMA,more,
MABS,MABS00BRA,Balsas,Brazil,inactive,RBMC,,more,
MAEC,MAEC00ECU,Macas,Ecuador,active,REGME,IGM-EC,more,
MAGA,MAGA00COL,Magangue,Colombia,removed,MAGNA-ECO,IGAC,more,
MANA,MANA00NIC,Managua,Nicaragua,active,IGS,ITRF2014,NOAA-NGS,INETER,more,
MAPA,MAPA00BRA,Macapa,Brazil,removed,ITRF2014,RBMC,RIBaC,IBGE,INCRA,DTCEA,more,
MARA,MARA00VEN,Maracaibo,Venezuela,removed,ITRF2014,REMOS,CPAGS-LUZ,IGVSB,DGFI,more,
MAS1,MAS100ESP,Maspalomas,Spain,active,IGS14-Core,ITRF2014,INTA,ESOC,more,
MBIO,MBIO00ATA,Base Marambio,Antarctica,active,RAMSAC,IGN-AR,DNA,more,
MCL1,MCL100BRA,Montes Claros,Brazil,removed,RMBC,IBGE,CEMIG,more,
MCLA,MCLA00BRA,Montes Claros,Brazil,removed,RBMC,RIBaC,IBGE,INCRA,CEMIG,more,
MD01,MD0100PER,Puerto Maldonado,Peru,active,REGPMOC,IGN-PE,more,
MDO1,MDO100USA,Fort Davis,TX,USA,active,IGS14,ITRF2014,JPL,UNAVCO,MLRS,more,
MECO,MECO00ARG,Mercedes,Argentina,active,RAMSAC,DGCyCC-SIT,more,
MEDE,MEDE00COL,Medellin,Colombia,active,MAGNA-ECO,IGAC,EAFIT,more,
MERI,MERI00MEX,Merida,Mexico,active,RGNA,INEGI,more,
MEXI,MEXI00MEX,Mexicali,Mexico,active,RGNA,INEGI,more,
MGBH,MGBH00BRA,Belo Horizonte,Brazil,active,RBMC,IBGE,more,
MGIN,MGIN00BRA,Inconfidentes,Brazil,active,RBMC,IBGE,EAFI,more,
MGJF,MGJF00BRA,Juiz de Fora,Brazil,active,RBMC,IBGE,UFJF,more,
MGJP,MGJP00BRA,Belo Horizonte,Brazil,active,RBMC,IBGE,FJP,more,
MGLA,MGLA00BRA,Lavras,Brazil,active,RBMC,IBGE,UFLA,more,
MGMC,MGMC00BRA,Montes Claros,Brazil,active,RBMC,IBGE,more,
MGMT,MGMT00BRA,Monte Carmelo,Brazil,active,RBMC,IBGE,UFU,more,
MGRP,MGRP00BRA,Rio Paranaíba,Brazil,active,RBMC,,more,
MGTO,MGTO00BRA,Teofilo Otoni,Brazil,active,RBMC,IBGE,UFVJM,more,
MGUB,MGUB00BRA,Uberlandia,Brazil,active,RBMC,IBGE,UFU,more,
